Id;City;Area;Street;HouseNumber;Price;Size;Rooms;Floor;NumberOfFloors;Year;Type;Heating;Furnishings;Link;UploadDate;ViewedBy;RememberedBy;ScrapeDate;Class
90E37B7A-03F7-44AF-A30E-10B5AD5454E1;Kaunas;" Žaliakalnis";" Žemaičių g.";31;69600;37,77;1;3;4;2020;Mūrinis;Centrinis kolektorinis;Dalinė apdaila;https://www.aruodas.lt/butai-kaune-zaliakalnyje-zemaiciu-g-loftas-parduodamas-tiesiogiai-is-projekto-1-3087935/;2022-02-01 00:00:00.0000000;197;11;2022-02-17 01:18:15.0890800;butas
5BF3A499-ADBC-421D-B202-11BFCD7852F5;Kaunas;" Dainava";" Kovo 11-osios g.";124;92000;64;3;2;5;1969;Blokinis;Centrinis;Įrengtas;https://www.aruodas.lt/butai-kaune-dainavoje-kovo-11-osios-g-parduodamas-3kambariu-butas-dainavos-raj-1-3172286/;2022-01-18 00:00:00.0000000;1874;23;2022-02-17 01:41:57.8075170;butas
F4A6BAC2-1093-4286-82E0-127F650E5399;Kaunas;" Šilainiai";" K. Čerbulėno g.";30D;58500;42;2;1;3;2022;Mūrinis;Dujinis;Dalinė apdaila;https://www.aruodas.lt/butai-kaune-silainiuose-k-cerbuleno-g-butai-parduodami-tiesiogiai-is-vystytojo-1-3092217/;2021-10-12 00:00:00.0000000;3225;24;2022-02-16 22:39:44.1825530;butas
41F23786-1385-4928-8A5D-12A51547BB35;Kaunas;" Šilainiai";" Baltijos g.";50;97000;62,5;3;9;9;1991;Blokinis;Centrinis;Įrengtas;https://www.aruodas.lt/butai-kaune-silainiuose-baltijos-g-silainiuose-parduodamas-graziai-suremontuotas-1-3165394/;2022-01-28 00:00:00.0000000;1637;87;2022-02-17 01:26:06.3752760;butas
C5C34168-B4B2-465C-9FAF-12B44787B3EF;Kaunas;" Aleksotas";" Antanavos g.";22;140000;66,7;3;5;5;1981;Mūrinis;Elektra, dujinis, kita;Įrengtas;https://www.aruodas.lt/butai-kaune-aleksote-antanavos-g-naujai-suremontuotas-butas-netoli-centro-1-3069353/;2022-01-22 00:00:00.0000000;2302;144;2022-02-17 01:36:15.3241720;butas
C4DFF2A4-C744-4A2F-ADB9-130C61ED55A5;Kaunas;" Žemieji Šančiai";" A. Juozapavičiaus pr.";18;130384;44,96;2;9;16;2021;Monolitinis;Centrinis kolektorinis;Dalinė apdaila;https://www.aruodas.lt/butai-kaune-sanciuose-a-juozapaviciaus-pr-nt-technologiju-ir-kokybes-simbolis-1-3169302/;2022-01-08 00:00:00.0000000;1810;9;2022-02-17 07:21:14.1489750;butas
AAFD5118-174C-47BC-A8F8-1353B21F9125;Kaunas;" Dainava";" Birželio 23-iosios g.";12;59000;44,35;2;3;5;1968;Blokinis;Centrinis;Įrengtas;https://www.aruodas.lt/butai-kaune-dainavoje-birzelio-23-iosios-g-parduodamas-2-kambariu-butas-yra-labai-geroje-1-3157391/;2021-11-22 00:00:00.0000000;6261;46;2022-02-17 07:40:10.5667590;butas
B4F32AF6-CA79-490D-AD46-140432B74140;Kaunas;" Šilainiai";" Jotvingių g.";21;99000;81;4;1;9;1986;Blokinis;Centrinis;Įrengtas;https://www.aruodas.lt/butai-kaune-silainiuose-jotvingiu-g-parduodamas-tvarkingas-4-iu-kambariu-butas-1-3158823/;2022-01-05 00:00:00.0000000;1554;6;2022-02-17 07:23:35.9861440;butas
40308A7E-295E-4F38-AF18-140ED8C9EF0B;Kaunas;" Dainava";" Partizanų g.";219;84900;61,31;3;5;5;1972;Blokinis;Centrinis;Įrengtas;https://www.aruodas.lt/butai-kaune-dainavoje-partizanu-g-parduodamas-3-kambariu-apsiltintas-butas-1-3176302/;2022-02-01 00:00:00.0000000;557;8;2022-02-17 01:15:07.3598780;butas
F5223C4F-0141-46F4-B549-147956161E6E;Kaunas;" Žemieji Šančiai";" Kranto 8-oji g.";16;68000;138;5;1;2;1935;Medinis;Dujinis, kietu kuru;Įrengtas;https://www.aruodas.lt/butai-kaune-sanciuose-kranto-8-oji-g-zemuosiuose-sanciuose-parduodama-namo-dalis-1-3160415/;2021-12-01 00:00:00.0000000;3422;33;2022-02-17 07:36:45.1271950;butas
